normalized_task_text,original_task_text,n_socs,soc_codes
assist physicians in performing ophthalmic procedures including surgery,"Assist physicians in performing ophthalmic procedures, including surgery.",2,29-2057.00; 29-2099.05
assist patients to dress undress or put on and remove supportive devices such as braces splints or slings,"Assist patients to dress, undress, or put on and remove supportive devices, such as braces, splints, or slings.",2,31-2021.00; 31-2022.00
assist in bus loading and unloading,Assist in bus loading and unloading.,2,25-9042.00; 25-9043.00
assist educational specialists or clinical psychologists in administering situational or diagnostic tests to measure clients abilities or progress,Assist educational specialists or clinical psychologists in administering situational or diagnostic tests to measure client's abilities or progress.,2,31-2011.00; 31-2012.00
assimilate arriving children to the school environment by greeting them helping them remove outerwear and selecting activities of interest to them,"Assimilate arriving children to the school environment by greeting them, helping them remove outerwear, and selecting activities of interest to them.",2,25-2011.00; 25-2012.00
assign work schedules following work requirements to ensure quality and timely delivery of service,"Assign work schedules, following work requirements, to ensure quality and timely delivery of service.",2,39-1014.00; 39-1022.00
assign the patient to diagnosisrelated groups drgs using appropriate computer software,"Assign the patient to diagnosis-related groups (DRGs), using appropriate computer software.",2,29-2072.00; 29-9021.00
assess patients pain levels or sedation requirements,Assess patients' pain levels or sedation requirements.,2,29-1141.03; 29-1214.00
answer patient call signals signal lights bells or intercom systems to determine patients needs,"Answer patient call signals, signal lights, bells, or intercom systems to determine patients' needs.",2,31-1131.00; 31-1132.00
attend professional meetings conferences and workshops to maintain and improve professional competence,"Attend professional meetings, conferences, and workshops to maintain and improve professional competence.",2,25-3011.00; 25-3021.00
analyze statistical data and reports to identify and determine causes of personnel problems and develop recommendations for improvement of organizations personnel policies and practices,"Analyze statistical data and reports to identify and determine causes of personnel problems, and develop recommendations for improvement of organization's personnel policies and practices.",2,11-3111.00; 11-3121.00
analyze records reports test results or examination information to diagnose medical condition of patient,"Analyze records, reports, test results, or examination information to diagnose medical condition of patient.",2,29-1216.00; 29-1218.00
analyze patients medical history medication allergies physical condition and examination results to verify operations necessity and to determine best procedure,"Analyze patient's medical history, medication allergies, physical condition, and examination results to verify operation's necessity and to determine best procedure.",2,29-1242.00; 29-1243.00
analyze and record personnel or operational data and write related activity reports,Analyze and record personnel or operational data and write related activity reports.,2,39-1014.00; 53-1044.00
administer traction to relieve neck or back pain using intermittent or static traction equipment,"Administer traction to relieve neck or back pain, using intermittent or static traction equipment.",2,31-2021.00; 31-2022.00
administer topical ophthalmic or oral medications,Administer topical ophthalmic or oral medications.,2,29-2057.00; 29-2099.05
administer standardized ability and achievement tests and interpret results to determine student strengths and needs,"Administer standardized ability and achievement tests, and interpret results to determine student strengths and needs.",2,25-2021.00; 25-2022.00
administer first aid treatment or life support care to sick or injured persons in prehospital settings,Administer first aid treatment or life support care to sick or injured persons in prehospital settings.,2,29-2042.00; 29-2043.00
assist students who need extra help with their coursework outside of class,Assist students who need extra help with their coursework outside of class.,2,25-1042.00; 25-1123.00
attend training classes to maintain certification licensure keep abreast of new developments in the field or maintain existing knowledge,"Attend training classes to maintain certification licensure, keep abreast of new developments in the field, or maintain existing knowledge.",2,29-2042.00; 29-2043.00
communicate with network personnel or web site hosting agencies to address hardware or software issues affecting web sites,Communicate with network personnel or Web site hosting agencies to address hardware or software issues affecting Web sites.,2,15-1254.00; 15-1255.00
collaborate with management or users to develop ecommerce strategies and to integrate these strategies with web sites,Collaborate with management or users to develop e-commerce strategies and to integrate these strategies with Web sites.,2,15-1254.00; 15-1255.00
communicate with dispatchers by radio telephone or computer to exchange information and receive requests for passenger service,"Communicate with dispatchers by radio, telephone, or computer to exchange information and receive requests for passenger service.",2,53-3053.00; 53-3054.00
communicate client assessment findings and recommendations in oral written audio video or other forms,"Communicate client assessment findings and recommendations in oral, written, audio, video, or other forms.",2,29-1129.01; 29-1129.02
comfort and reassure patients,Comfort and reassure patients.,2,29-2042.00; 29-2043.00
collect samples of materials or products for laboratory testing,Collect samples of materials or products for laboratory testing.,2,51-9021.00; 51-9023.00
collect payments from customers,Collect payments from customers.,2,27-2091.00; 35-3031.00
collect fares or vouchers from passengers and make change or issue receipts as necessary,"Collect fares or vouchers from passengers, and make change or issue receipts as necessary.",2,53-3053.00; 53-3054.00
collaborate with other writers on specific projects,Collaborate with other writers on specific projects.,2,27-3043.00; 27-3043.05
collaborate with other teachers and administrators in the development evaluation and revision of middle school programs,"Collaborate with other teachers and administrators in the development, evaluation, and revision of middle school programs.",2,25-2022.00; 25-2023.00
clean work areas and equipment,Clean work areas and equipment.,2,47-3014.00; 47-3016.00
call patients to inquire about their postoperative status or recovery,Call patients to inquire about their post-operative status or recovery.,2,29-2057.00; 29-2099.05
clean work area,Clean work area.,2,51-4031.00; 51-4034.00
clean or sterilize ophthalmic or surgical instruments,Clean or sterilize ophthalmic or surgical instruments.,2,29-2057.00; 29-2099.05
clean oil and lubricate machines using air hoses cleaning solutions rags oilcans and grease guns,"Clean, oil, and lubricate machines, using air hoses, cleaning solutions, rags, oilcans, and grease guns.",2,51-6062.00; 51-6064.00
clean classrooms,Clean classrooms.,2,25-9042.00; 25-9043.00
clean chipped area using wire brush and feel and observe surface to determine if it is rough or uneven,"Clean chipped area, using wire brush, and feel and observe surface to determine if it is rough or uneven.",2,47-2051.00; 47-2053.00
clean and sanitize patient rooms bathrooms examination rooms or other patient areas,"Clean and sanitize patient rooms, bathrooms, examination rooms, or other patient areas.",2,31-1131.00; 31-1132.00
choose routes altitudes and speeds that will provide the fastest safest and smoothest flights,"Choose routes, altitudes, and speeds that will provide the fastest, safest, and smoothest flights.",2,53-2011.00; 53-2012.00
check the condition of a vehicles tires brakes windshield wipers lights oil fuel water and safety equipment to ensure that everything is in working order,"Check the condition of a vehicle's tires, brakes, windshield wipers, lights, oil, fuel, water, and safety equipment to ensure that everything is in working order.",2,53-3051.00; 53-3053.00
determine or recommend radioactive decontamination procedures according to the size and nature of equipment and the degree of contamination,"Determine or recommend radioactive decontamination procedures, according to the size and nature of equipment and the degree of contamination.",2,19-4051.00; 19-4051.02
develop and implement strategies to meet the needs of students with a variety of handicapping conditions,Develop and implement strategies to meet the needs of students with a variety of handicapping conditions.,2,25-2057.00; 25-2058.00
develop and interpret organizational goals policies and procedures,"Develop and interpret organizational goals, policies, and procedures.",2,11-3021.00; 15-1221.00
maintain computers in classrooms and laboratories and assist students with hardware and software use,"Maintain computers in classrooms and laboratories, and assist students with hardware and software use.",2,25-9042.00; 25-9043.00
manage parts and supply inventories for biomass plants,Manage parts and supply inventories for biomass plants.,2,11-3051.04; 51-8013.03
maintain understanding of current web technologies or programming practices through continuing education reading or participation in professional conferences workshops or groups,"Maintain understanding of current Web technologies or programming practices through continuing education, reading, or participation in professional conferences, workshops, or groups.",2,15-1254.00; 15-1255.00
maintain treatment records,Maintain treatment records.,2,31-9011.00; 39-5093.00
maintain records and compile statistical reports concerning personnelrelated data such as hires transfers performance appraisals and absenteeism rates,"Maintain records and compile statistical reports concerning personnel-related data, such as hires, transfers, performance appraisals, and absenteeism rates.",2,11-3111.00; 11-3121.00
maintain pattern records for reference,Maintain pattern records for reference.,2,51-7031.00; 51-7032.00
maintain ophthalmic instruments or equipment,Maintain ophthalmic instruments or equipment.,2,29-2057.00; 29-2099.05
maintain knowledge of firstaid procedures,Maintain knowledge of first-aid procedures.,2,53-3051.00; 53-3053.00
maintain customer records using automated systems,Maintain customer records using automated systems.,2,41-3091.00; 41-4011.00
maintain a proper sterile field during surgical procedures,Maintain a proper sterile field during surgical procedures.,2,29-2031.00; 29-2055.00
measure and record lens power using lensometers,"Measure and record lens power, using lensometers.",2,29-2057.00; 29-2099.05
lift or assist others to lift patients to move them on or off beds examination tables surgical tables or stretchers,"Lift or assist others to lift patients to move them on or off beds, examination tables, surgical tables, or stretchers.",2,31-1131.00; 31-1132.00
learn to operate new office technologies as they are developed and implemented,Learn to operate new office technologies as they are developed and implemented.,2,11-3012.00; 43-6014.00
laminate teaching materials to increase their durability under repeated use,Laminate teaching materials to increase their durability under repeated use.,2,25-9042.00; 25-9043.00
keep informed regarding pending industry changes trends or best practices,"Keep informed regarding pending industry changes, trends, or best practices.",2,11-9199.02; 13-1041.00
issue patterns to designated machine operators,Issue patterns to designated machine operators.,2,51-7031.00; 51-7032.00
involve parent volunteers and older students in childrens activities to facilitate involvement in focused complex play,"Involve parent volunteers and older students in children's activities to facilitate involvement in focused, complex play.",2,25-2012.00; 25-2021.00
interview patients to obtain comprehensive medical histories,Interview patients to obtain comprehensive medical histories.,2,19-3039.02; 19-3039.03
interview and hire workers,Interview and hire workers.,2,11-9071.00; 39-1013.00
manage surgery services including planning scheduling and coordination determination of procedures or procurement of supplies and equipment,"Manage surgery services, including planning, scheduling and coordination, determination of procedures, or procurement of supplies and equipment.",2,29-1242.00; 29-1243.00
measure patients rangeofjoint motion body parts or vital signs to determine effects of treatments or for patient evaluations,"Measure patients' range-of-joint motion, body parts, or vital signs to determine effects of treatments or for patient evaluations.",2,31-2021.00; 31-2022.00
instruct students with disabilities in academic subjects using a variety of techniques such as phonetics multisensory learning or repetition to reinforce learning and meet students varying needs,"Instruct students with disabilities in academic subjects, using a variety of techniques, such as phonetics, multisensory learning, or repetition to reinforce learning and meet students' varying needs.",2,25-2055.00; 25-2056.00
notify dispatchers or company mechanics of vehicle problems,Notify dispatchers or company mechanics of vehicle problems.,2,53-3053.00; 53-3054.00
operate and maintain audiovisual equipment,Operate and maintain audio-visual equipment.,2,25-9042.00; 43-4121.00
offer counsel and comfort to bereaved families or friends,Offer counsel and comfort to bereaved families or friends.,2,39-4012.00; 39-4031.00
observe students to determine qualifications limitations abilities interests and other individual characteristics,"Observe students to determine qualifications, limitations, abilities, interests, and other individual characteristics.",2,25-3011.00; 25-3021.00
observe students performance and record relevant data to assess progress,"Observe students' performance, and record relevant data to assess progress.",2,25-9042.00; 25-9043.00
observe record and report to physician the patients condition or injury the treatment provided and reactions to drugs or treatment,"Observe, record, and report to physician the patient's condition or injury, the treatment provided, and reactions to drugs or treatment.",2,29-2042.00; 29-2043.00
observe and evaluate the performance of other instructors,Observe and evaluate the performance of other instructors.,2,25-3011.00; 25-3021.00
observe and evaluate childrens performance behavior social development and physical health,"Observe and evaluate children's performance, behavior, social development, and physical health.",2,25-2011.00; 25-2012.00
notify supervisors or mechanics of equipment malfunctions,Notify supervisors or mechanics of equipment malfunctions.,2,51-6061.00; 51-6064.00
negotiate with project stakeholders or suppliers to obtain resources or materials,Negotiate with project stakeholders or suppliers to obtain resources or materials.,2,13-1082.00; 15-1299.09
measure visual acuity including near distance pinhole or dynamic visual acuity using appropriate tests,"Measure visual acuity, including near, distance, pinhole, or dynamic visual acuity, using appropriate tests.",2,29-2057.00; 29-2099.05
negotiate prices or terms of sales or service agreements,Negotiate prices or terms of sales or service agreements.,2,41-3091.00; 41-4011.00
monitor teachers and teacher assistants to ensure that they adhere to inclusive special education program requirements,Monitor teachers and teacher assistants to ensure that they adhere to inclusive special education program requirements.,2,25-2057.00; 25-2058.00
monitor engine operation fuel consumption and functioning of aircraft systems during flights,"Monitor engine operation, fuel consumption, and functioning of aircraft systems during flights.",2,53-2011.00; 53-2012.00
monitor developments in the fields of industrial technology business finance and economic theory,"Monitor developments in the fields of industrial technology, business, finance, and economic theory.",2,13-2051.00; 13-2054.00
mix cement sand and water to produce concrete grout or slurry using hoe trowel tamper scraper or concretemixing machine,"Mix cement, sand, and water to produce concrete, grout, or slurry, using hoe, trowel, tamper, scraper, or concrete-mixing machine.",2,47-2051.00; 47-2053.00
mentor new faculty,Mentor new faculty.,2,25-1011.00; 25-1067.00
meet with parents and guardians to provide guidance in using community resources and to teach skills for dealing with students impairments,Meet with parents and guardians to provide guidance in using community resources and to teach skills for dealing with students' impairments.,2,25-2057.00; 25-2058.00
meet with managers or other supervisors to stay informed of changes affecting operations,Meet with managers or other supervisors to stay informed of changes affecting operations.,2,39-1022.00; 53-1044.00
interpret data on price yield stability future investmentrisk trends economic influences and other factors affecting investment programs,"Interpret data on price, yield, stability, future investment-risk trends, economic influences, and other factors affecting investment programs.",2,13-2051.00; 13-2054.00
instruct students in daily living skills required for independent maintenance and selfsufficiency such as hygiene safety or food preparation,"Instruct students in daily living skills required for independent maintenance and self-sufficiency, such as hygiene, safety, or food preparation.",2,25-2056.00; 25-9043.00
develop computer models for hydrologic predictions,Develop computer models for hydrologic predictions.,2,19-2043.00; 19-4044.00
document geological formations encountered during work,Document geological formations encountered during work.,2,47-5023.00; 47-5032.00
enter and update patrons records on computers,Enter and update patrons' records on computers.,2,25-4031.00; 43-4121.00
enforce safety rules and regulations,Enforce safety rules and regulations.,2,53-1043.00; 53-1044.00
encourage students to explore learning opportunities or persevere with challenging tasks to prepare them for later grades,Encourage students to explore learning opportunities or persevere with challenging tasks to prepare them for later grades.,2,25-2051.00; 25-2056.00
employ special educational strategies and techniques during instruction to improve the development of sensory and perceptualmotor skills language cognition and memory,"Employ special educational strategies and techniques during instruction to improve the development of sensory- and perceptual-motor skills, language, cognition, and memory.",2,25-2057.00; 25-2058.00
embed tissue specimens into paraffin wax blocks or infiltrate tissue specimens with wax,"Embed tissue specimens into paraffin wax blocks, or infiltrate tissue specimens with wax.",2,29-2011.04; 29-2012.01
educate and supervise practicum students psychology interns or hospital staff,"Educate and supervise practicum students, psychology interns, or hospital staff.",2,19-3039.02; 19-3039.03
draw charts and graphs using computer spreadsheets to illustrate technical reports,"Draw charts and graphs, using computer spreadsheets, to illustrate technical reports.",2,13-2051.00; 13-2054.00
document technical factors such as server load bandwidth database performance and browser and device types,"Document technical factors such as server load, bandwidth, database performance, and browser and device types.",2,15-1254.00; 15-1255.00
discuss assigned duties with classroom teachers to coordinate instructional efforts,Discuss assigned duties with classroom teachers to coordinate instructional efforts.,2,25-9042.00; 25-9043.00
establish neurobehavioral baseline measures for monitoring progressive cerebral disease or recovery,Establish neurobehavioral baseline measures for monitoring progressive cerebral disease or recovery.,2,19-3039.02; 19-3039.03
diagnose or treat disorders of the musculoskeletal system,Diagnose or treat disorders of the musculoskeletal system.,2,29-1229.06; 29-1242.00
diagnose and treat pediatric populations for conditions such as learning disabilities with developmental or organic bases,Diagnose and treat pediatric populations for conditions such as learning disabilities with developmental or organic bases.,2,19-3039.02; 19-3039.03
diagnose and treat conditions involving injury to the central nervous system such as cerebrovascular accidents neoplasms infectious or inflammatory diseases degenerative diseases head traumas demyelinating diseases and various forms of dementing illnesses,"Diagnose and treat conditions involving injury to the central nervous system, such as cerebrovascular accidents, neoplasms, infectious or inflammatory diseases, degenerative diseases, head traumas, demyelinating diseases, and various forms of dementing illnesses.",2,19-3039.02; 19-3039.03
develop system interaction or sequence diagrams,Develop system interaction or sequence diagrams.,2,15-1254.00; 15-1255.00
develop sustainable manufacturing technologies to reduce greenhouse gas emissions minimize raw material use replace toxic materials with nontoxic materials replace nonrenewable materials with renewable materials or reduce waste,"Develop sustainable manufacturing technologies to reduce greenhouse gas emissions, minimize raw material use, replace toxic materials with non-toxic materials, replace non-renewable materials with renewable materials, or reduce waste.",2,17-2112.03; 17-3026.00
develop strategies to encourage new or increased contributions,Develop strategies to encourage new or increased contributions.,2,11-2033.00; 13-1131.00
develop marketing materials proposals or presentations to generate new work opportunities,"Develop marketing materials, proposals, or presentations to generate new work opportunities.",2,17-1011.00; 17-1012.00
develop fundraising activity plans that maximize participation or contributions and minimize costs,Develop fundraising activity plans that maximize participation or contributions and minimize costs.,2,11-2033.00; 13-1131.00
establish clear objectives for all lessons units and projects and communicate those objectives to children,"Establish clear objectives for all lessons, units, and projects and communicate those objectives to children.",2,25-2011.00; 25-2012.00
evaluate and compare the relative quality of various securities in a given industry,Evaluate and compare the relative quality of various securities in a given industry.,2,13-2051.00; 13-2054.00
instruct students in daily living skills required for independent maintenance and selfsufficiency such as hygiene safety and food preparation,"Instruct students in daily living skills required for independent maintenance and self-sufficiency, such as hygiene, safety, and food preparation.",2,25-2057.00; 25-2058.00
identify and evaluate industry trends in database systems to serve as a source of information and advice for upper management,Identify and evaluate industry trends in database systems to serve as a source of information and advice for upper management.,2,15-1242.00; 15-1243.00
instruct patients in the care and use of contact lenses,Instruct patients in the care and use of contact lenses.,2,29-2057.00; 29-2099.05
install level and align machine components such as gears chains guides dies cutters or needles to set up machinery for operation,"Install, level, and align machine components such as gears, chains, guides, dies, cutters, or needles to set up machinery for operation.",2,51-6063.00; 51-6064.00
identify security system weaknesses using penetration tests,"Identify security system weaknesses, using penetration tests.",2,15-1299.04; 15-1299.05
identify review or select vendors or consultants to meet project needs,"Identify, review, or select vendors or consultants to meet project needs.",2,13-1082.00; 15-1299.09
identify evaluate and recommend hardware or software technologies to achieve desired database performance,"Identify, evaluate and recommend hardware or software technologies to achieve desired database performance.",2,15-1242.00; 15-1243.00
identify compliance issues that require followup or investigation,Identify compliance issues that require follow-up or investigation.,2,11-9199.02; 13-1041.00
identify compile abstract and code patient data using standard classification systems,"Identify, compile, abstract, and code patient data, using standard classification systems.",2,29-2072.00; 29-9021.00
identify children showing signs of emotional developmental or healthrelated problems and discuss them with supervisors parents or guardians and child development specialists,"Identify children showing signs of emotional, developmental, or health-related problems and discuss them with supervisors, parents or guardians, and child development specialists.",2,25-2011.00; 25-2012.00
grade homework and tests and compute and record results using answer sheets or electronic marking devices,"Grade homework and tests, and compute and record results, using answer sheets or electronic marking devices.",2,25-9042.00; 25-9043.00
evaluate or recommend server hardware or software,Evaluate or recommend server hardware or software.,2,15-1254.00; 15-1299.01
follow relevant safety regulations and state laws governing vehicle operation and ensure that passengers follow safety regulations,"Follow relevant safety regulations and state laws governing vehicle operation, and ensure that passengers follow safety regulations.",2,53-3053.00; 53-3054.00
follow established surgical techniques during the operation,Follow established surgical techniques during the operation.,2,29-1242.00; 29-1243.00
follow appropriate procedures to get copyrights for completed work,Follow appropriate procedures to get copyrights for completed work.,2,27-3043.00; 27-3043.05
explain drawings to production or construction teams and provide adjustments as necessary,Explain drawings to production or construction teams and provide adjustments as necessary.,2,17-3011.00; 17-3012.00
explain and demonstrate work tasks to new workers or assign training tasks to experienced workers,Explain and demonstrate work tasks to new workers or assign training tasks to experienced workers.,2,53-1043.00; 53-1044.00
examine patient to obtain information on medical condition and surgical risk,Examine patient to obtain information on medical condition and surgical risk.,2,29-1242.00; 29-1243.00
examine materials ingredients or products visually or with hands to ensure conformance to established standards,"Examine materials, ingredients, or products, visually or with hands, to ensure conformance to established standards.",2,51-9021.00; 51-9023.00
examine instruments equipment and operating room to ensure sterility,"Examine instruments, equipment, and operating room to ensure sterility.",2,29-1242.00; 29-1243.00
write supporting code for web applications or web sites,Write supporting code for Web applications or Web sites.,2,15-1254.00; 15-1255.00
