task_description,api_count,task_lower,soc_code,task_id,occupation_title
inspect public establishments to ensure compliance with rules and regulations.,15.0,inspect public establishments to ensure compliance with rules and regulations.,,,
"inspect security design features, installations, or programs to ensure compliance with applicable standards or regulations.",47.0,"inspect security design features, installations, or programs to ensure compliance with applicable standards or regulations.",,,
"inspect structures to assess material or equipment needs, to establish the sequence of pipe installations, or to plan installation around obstructions such as electrical wiring.",46.0,"inspect structures to assess material or equipment needs, to establish the sequence of pipe installations, or to plan installation around obstructions such as electrical wiring.",,,
"install and configure new equipment, including operating software or peripheral equipment.",152.0,"install and configure new equipment, including operating software or peripheral equipment.",49-2011.00,11632.0,"Computer, Automated Teller, and Office Machine Repairers"
"install and perform minor repairs to hardware, software, or peripheral equipment, following design or installation specifications.",134.0,"install and perform minor repairs to hardware, software, or peripheral equipment, following design or installation specifications.",15-1232.00,1284.0,Computer User Support Specialists
"install updated software, and programs that maintain existing software or provide requested features such as time-correlated call routing.",155.0,"install updated software, and programs that maintain existing software or provide requested features such as time-correlated call routing.",,,
"install, service, and repair electronic equipment or instruments such as televisions, radios, and videocassette recorders.",41.0,"install, service, and repair electronic equipment or instruments such as televisions, radios, and videocassette recorders.",49-2097.00,13738.0,Audiovisual Equipment Installers and Repairers
"instruct in use of voice, video, and data communications systems.",23.0,"instruct in use of voice, video, and data communications systems.",15-1241.01,20366.0,Telecommunications Engineering Specialists
"instruct individuals in career development techniques such as job search and application strategies, resume writing, and interview skills.",489.0,"instruct individuals in career development techniques such as job search and application strategies, resume writing, and interview skills.",,,
"instruct individuals or groups in sports rules, game strategies, and performance principles, such as specific ways of moving the body, hands, or feet, to achieve desired results.",19.0,"instruct individuals or groups in sports rules, game strategies, and performance principles, such as specific ways of moving the body, hands, or feet, to achieve desired results.",27-2022.00,1750.0,Coaches and Scouts
"instruct others in program methods, procedures, or functions.",53.0,"instruct others in program methods, procedures, or functions.",21-1011.00,5600.0,Substance Abuse and Behavioral Disorder Counselors
"instruct staff in work policies and procedures, and the use and maintenance of equipment.",17.0,"instruct staff in work policies and procedures, and the use and maintenance of equipment.",37-1011.00,9521.0,First-Line Supervisors of Housekeeping and Janitorial Workers
instruct staff on how to handle difficult and complicated sales.,121.0,instruct staff on how to handle difficult and complicated sales.,41-1011.00,668.0,First-Line Supervisors of Retail Sales Workers
"instruct students in the knowledge and skills required in a specific occupation or occupational field, using a systematic plan of lectures, discussions, audio-visual presentations, and laboratory, shop and field studies.",163.0,"instruct students in the knowledge and skills required in a specific occupation or occupational field, using a systematic plan of lectures, discussions, audio-visual presentations, and laboratory, shop and field studies.",,,
"instruct through lectures, discussions, and demonstrations in one or more subjects, such as english, mathematics, or social studies.",711.0,"instruct through lectures, discussions, and demonstrations in one or more subjects, such as english, mathematics, or social studies.",25-2022.00,6575.0,"Middle School Teachers, Except Special and Career/Technical Education"
"instruct through lectures, discussions, and demonstrations in one or more subjects, such as english, mathematics, or social studies.",711.0,"instruct through lectures, discussions, and demonstrations in one or more subjects, such as english, mathematics, or social studies.",25-2031.00,6640.0,"Secondary School Teachers, Except Special and Career/Technical Education"
"instruct through lectures, discussions, and demonstrations in one or more subjects, such as english, mathematics, or social studies.",711.0,"instruct through lectures, discussions, and demonstrations in one or more subjects, such as english, mathematics, or social studies.",25-2057.00,6753.0,"Special Education Teachers, Middle School"
"instruct through lectures, discussions, and demonstrations in one or more subjects, such as english, mathematics, or social studies.",711.0,"instruct through lectures, discussions, and demonstrations in one or more subjects, such as english, mathematics, or social studies.",25-2058.00,6789.0,"Special Education Teachers, Secondary School"
"instruct users in the selection, use, and design of audio-visual materials and assist them in the preparation of instructional materials and the rehearsal of presentations.",35.0,"instruct users in the selection, use, and design of audio-visual materials and assist them in the preparation of instructional materials and the rehearsal of presentations.",,,
insulate shells and cabinets of systems.,22.0,insulate shells and cabinets of systems.,,,
"integrate and develop visual elements, such as line, space, mass, color, and perspective, to produce desired effects, such as the illustration of ideas, emotions, or moods.",902.0,"integrate and develop visual elements, such as line, space, mass, color, and perspective, to produce desired effects, such as the illustration of ideas, emotions, or moods.",27-1013.00,10990.0,"Fine Artists, Including Painters, Sculptors, and Illustrators"
integrate electrical systems with renewable energy systems to improve overall efficiency.,15.0,integrate electrical systems with renewable energy systems to improve overall efficiency.,17-2071.00,19619.0,Electrical Engineers
integrate online retailing strategy with physical or catalogue retailing operations.,19.0,integrate online retailing strategy with physical or catalogue retailing operations.,13-1199.06,15706.0,Online Merchants
"integrate software or hardware components, using computer, microprocessor, or control architecture.",24.0,"integrate software or hardware components, using computer, microprocessor, or control architecture.",17-3023.00,21991.0,Electrical and Electronic Engineering Technologists and Technicians
"interact with clients to assist them in gaining insight, defining goals, and planning action to achieve effective personal, social, educational, and vocational development and adjustment.",1617.0,"interact with clients to assist them in gaining insight, defining goals, and planning action to achieve effective personal, social, educational, and vocational development and adjustment.",,,
"interpret and analyze policies, public issues, legislation, or the operations of governments, businesses, and organizations.",133.0,"interpret and analyze policies, public issues, legislation, or the operations of governments, businesses, and organizations.",19-3094.00,5521.0,Political Scientists
"interpret and explain human resources policies, procedures, laws, standards, or regulations.",60.0,"interpret and explain human resources policies, procedures, laws, standards, or regulations.",13-1071.00,18861.0,Human Resources Specialists
"interpret and explain information such as eligibility requirements, application details, payment methods, and applicants' legal rights.",30.0,"interpret and explain information such as eligibility requirements, application details, payment methods, and applicants' legal rights.",43-4061.00,9734.0,"Eligibility Interviewers, Government Programs"
"interpret and explain plans and contract terms to representatives of the owner or developer, including administrative staff, workers, or clients.",55.0,"interpret and explain plans and contract terms to representatives of the owner or developer, including administrative staff, workers, or clients.",11-9021.00,20336.0,Construction Managers
"interpret and explain policies, rules, regulations, or laws to organizations, government or corporate officials, or individuals.",79.0,"interpret and explain policies, rules, regulations, or laws to organizations, government or corporate officials, or individuals.",11-1011.00,8843.0,Chief Executives
"interpret data on logistics elements, such as availability, maintainability, reliability, supply chain management, strategic sourcing or distribution, supplier management, or transportation.",166.0,"interpret data on logistics elements, such as availability, maintainability, reliability, supply chain management, strategic sourcing or distribution, supplier management, or transportation.",13-1081.02,15903.0,Logistics Analysts
"interpret data on price, yield, stability, future investment-risk trends, economic influences, and other factors affecting investment programs.",171.0,"interpret data on price, yield, stability, future investment-risk trends, economic influences, and other factors affecting investment programs.",13-2051.00,21594.0,Financial and Investment Analysts
"interpret data on price, yield, stability, future investment-risk trends, economic influences, and other factors affecting investment programs.",171.0,"interpret data on price, yield, stability, future investment-risk trends, economic influences, and other factors affecting investment programs.",13-2054.00,21624.0,Financial Risk Specialists
interpret diagnostic or laboratory tests such as electrocardiograms (ekgs) and renal functioning tests.,22.0,interpret diagnostic or laboratory tests such as electrocardiograms (ekgs) and renal functioning tests.,,,
interpret diagnostic test results for deviations from normal.,81.0,interpret diagnostic test results for deviations from normal.,29-1071.00,4074.0,Physician Assistants
interpret diagnostic test results to make appropriate differential diagnoses.,19.0,interpret diagnostic test results to make appropriate differential diagnoses.,29-1229.01,17070.0,Allergists and Immunologists
"interpret engineering drawings, sketches, or diagrams.",139.0,"interpret engineering drawings, sketches, or diagrams.",,,
"interpret engineering sketches, specifications, or drawings.",45.0,"interpret engineering sketches, specifications, or drawings.",17-3027.00,22082.0,Mechanical Engineering Technologists and Technicians
interpret exercise program participant data to evaluate progress or identify needed program changes.,35.0,interpret exercise program participant data to evaluate progress or identify needed program changes.,29-1128.00,19195.0,Exercise Physiologists
interpret government regulations and applicable codes to ensure compliance.,263.0,interpret government regulations and applicable codes to ensure compliance.,13-1199.04,15949.0,Business Continuity Planners
interpret imaging data and confer with other medical specialists to formulate diagnoses.,67.0,interpret imaging data and confer with other medical specialists to formulate diagnoses.,,,
interpret laboratory results and communicate findings to patients or physicians.,23.0,interpret laboratory results and communicate findings to patients or physicians.,29-9092.00,17507.0,Genetic Counselors
"interpret laws, rulings and regulations for individuals and businesses.",64.0,"interpret laws, rulings and regulations for individuals and businesses.",23-1011.00,3774.0,Lawyers
interpret regulatory rules or rule changes and ensure that they are communicated through corporate policies and procedures.,201.0,interpret regulatory rules or rule changes and ensure that they are communicated through corporate policies and procedures.,13-1041.07,18049.0,Regulatory Affairs Specialists
interpret results of financial analysis procedures.,116.0,interpret results of financial analysis procedures.,13-2099.01,15989.0,Financial Quantitative Analysts
interpret the results of standardized tests to determine students' strengths and areas of need.,16.0,interpret the results of standardized tests to determine students' strengths and areas of need.,25-2056.00,22373.0,"Special Education Teachers, Elementary School"
"interpret transportation or tariff regulations, shipping orders, safety regulations, or company policies and procedures for workers.",15.0,"interpret transportation or tariff regulations, shipping orders, safety regulations, or company policies and procedures for workers.",53-1043.00,8593.0,First-Line Supervisors of Material-Moving Machine and Vehicle Operators
interview applicants and request specified information for loan applications.,129.0,interview applicants and request specified information for loan applications.,,,
interview clients and take their calls to provide customer service and obtain information on claims.,52.0,interview clients and take their calls to provide customer service and obtain information on claims.,43-9041.00,23332.0,Insurance Claims and Policy Processing Clerks
interview clients to determine what kinds of properties they are seeking.,388.0,interview clients to determine what kinds of properties they are seeking.,41-9022.00,2442.0,Real Estate Sales Agents
"interview clients to obtain information about employment history, educational background, and career goals, and to identify barriers to employment.",60.0,"interview clients to obtain information about employment history, educational background, and career goals, and to identify barriers to employment.",21-1012.00,5636.0,"Educational, Guidance, and Career Counselors and Advisors"
"interview clients, review records, conduct assessments, or confer with other professionals to evaluate the mental or physical condition of clients or patients.",18.0,"interview clients, review records, conduct assessments, or confer with other professionals to evaluate the mental or physical condition of clients or patients.",21-1023.00,18487.0,Mental Health and Substance Abuse Social Workers
interview credit applicants by telephone or in person to obtain personal and financial data needed to complete credit report.,24.0,interview credit applicants by telephone or in person to obtain personal and financial data needed to complete credit report.,43-4041.00,23300.0,"Credit Authorizers, Checkers, and Clerks"
"interview individuals, and research public databases in order to obtain information.",161.0,"interview individuals, and research public databases in order to obtain information.",19-4043.00,22270.0,"Geological Technicians, Except Hydrologic Technicians"
"interview job applicants to obtain information on work history, training, education, or job skills.",837.0,"interview job applicants to obtain information on work history, training, education, or job skills.",13-1071.00,18862.0,Human Resources Specialists
interview loan applicants to obtain personal and financial data and to assist in completing applications.,156.0,interview loan applicants to obtain personal and financial data and to assist in completing applications.,43-4131.00,11292.0,Loan Interviewers and Clerks
"interview or correspond with claimants, witnesses, police, physicians, or other relevant parties to determine claim settlement, denial, or review.",23.0,"interview or correspond with claimants, witnesses, police, physicians, or other relevant parties to determine claim settlement, denial, or review.",13-1031.00,21422.0,"Claims Adjusters, Examiners, and Investigators"
interview patients or their representatives to identify problems relating to care.,23.0,interview patients or their representatives to identify problems relating to care.,29-2099.08,17670.0,Patient Representatives
"interview patients to complete documents, case histories, or forms, such as intake or insurance forms.",17.0,"interview patients to complete documents, case histories, or forms, such as intake or insurance forms.",43-6013.00,780.0,Medical Secretaries and Administrative Assistants
interview people and keep track of their responses.,87.0,interview people and keep track of their responses.,43-9111.00,9800.0,Statistical Assistants
"interview prospective clients to obtain data about their financial resources and needs, the physical condition of the person or property to be insured, and to discuss any existing coverage.",534.0,"interview prospective clients to obtain data about their financial resources and needs, the physical condition of the person or property to be insured, and to discuss any existing coverage.",41-3021.00,722.0,Insurance Sales Agents
introduce performances and performers to stimulate excitement and coordinate smooth transition of acts during events.,18.0,introduce performances and performers to stimulate excitement and coordinate smooth transition of acts during events.,27-2011.00,7657.0,Actors
"invent names for products and write the slogans that appear on packaging, brochures and other promotional material.",33.0,"invent names for products and write the slogans that appear on packaging, brochures and other promotional material.",27-3043.00,22659.0,Writers and Authors
investigate and direct patient inquiries or complaints to appropriate medical staff members and follow up to ensure satisfactory resolution.,51.0,investigate and direct patient inquiries or complaints to appropriate medical staff members and follow up to ensure satisfactory resolution.,29-2099.08,17669.0,Patient Representatives
"investigate and resolve complaints regarding food quality, service, or accommodations.",97.0,"investigate and resolve complaints regarding food quality, service, or accommodations.",11-9051.00,1078.0,Food Service Managers
investigate available investment opportunities to determine compatibility with client financial plans.,21.0,investigate available investment opportunities to determine compatibility with client financial plans.,13-2052.00,20187.0,Personal Financial Advisors
"investigate characteristics such as cost, performance, or process capability of potential microelectromechanical systems (mems) device designs, using simulation or modeling software.",21.0,"investigate characteristics such as cost, performance, or process capability of potential microelectromechanical systems (mems) device designs, using simulation or modeling software.",17-2199.06,16497.0,Microsystems Engineers
investigate child abuse or neglect cases and take authorized protective action when necessary.,16.0,investigate child abuse or neglect cases and take authorized protective action when necessary.,21-1022.00,259.0,Healthcare Social Workers
investigate clients' financial and credit status to determine eligibility for financing.,46.0,investigate clients' financial and credit status to determine eligibility for financing.,41-9022.00,2461.0,Real Estate Sales Agents
investigate customer or public complaints to determine the nature and extent of problems.,235.0,investigate customer or public complaints to determine the nature and extent of problems.,17-2071.00,20730.0,Electrical Engineers
investigate customer problems referred by technical support.,63.0,investigate customer problems referred by technical support.,15-1253.00,14651.0,Software Quality Assurance Analysts and Testers
investigate illegal or suspicious activities.,20.0,investigate illegal or suspicious activities.,33-3051.00,23055.0,Police and Sheriff's Patrol Officers
"investigate known or suspected internal theft, external theft, or vendor fraud.",23.0,"investigate known or suspected internal theft, external theft, or vendor fraud.",33-9099.02,17561.0,Retail Loss Prevention Specialists
investigate or test specific construction project materials to determine compliance to specifications or standards.,61.0,investigate or test specific construction project materials to determine compliance to specifications or standards.,17-2051.01,16315.0,Transportation Engineers
investigate product complaints and prepare documentation and submissions to appropriate regulatory agencies as necessary.,46.0,investigate product complaints and prepare documentation and submissions to appropriate regulatory agencies as necessary.,11-9199.01,18029.0,Regulatory Affairs Managers
"investigate products or markets to determine areas for opportunity or viability for merchandising specific products, using online or offline sources.",102.0,"investigate products or markets to determine areas for opportunity or viability for merchandising specific products, using online or offline sources.",13-1199.06,15721.0,Online Merchants
"investigate the nature, composition, or expression of genes or research how genetic engineering can impact these processes.",80.0,"investigate the nature, composition, or expression of genes or research how genetic engineering can impact these processes.",19-1021.00,12943.0,Biochemists and Biophysicists
"investigate theoretical or conceptual issues, such as the human design considerations of lunar landers or habitats.",48.0,"investigate theoretical or conceptual issues, such as the human design considerations of lunar landers or habitats.",17-2112.01,16376.0,Human Factors Engineers and Ergonomists
"investigate whether networks, workstations, the central processing unit of the system, or peripheral equipment are responding to a program's instructions.",467.0,"investigate whether networks, workstations, the central processing unit of the system, or peripheral equipment are responding to a program's instructions.",15-1251.00,1275.0,Computer Programmers
"investigate, evaluate, and settle claims, applying technical knowledge and human relations skills to effect fair and prompt disposal of cases and to contribute to a reduced loss ratio.",16.0,"investigate, evaluate, and settle claims, applying technical knowledge and human relations skills to effect fair and prompt disposal of cases and to contribute to a reduced loss ratio.",13-1031.00,21423.0,"Claims Adjusters, Examiners, and Investigators"
"keep abreast of regulatory processes and payer systems such as medicare, medicaid, managed care, and private sources.",19.0,"keep abreast of regulatory processes and payer systems such as medicare, medicaid, managed care, and private sources.",,,
keep informed of industry trends and deals.,993.0,keep informed of industry trends and deals.,13-1011.00,12870.0,"Agents and Business Managers of Artists, Performers, and Athletes"
keep informed of new products and developments.,32.0,keep informed of new products and developments.,49-2098.00,11769.0,Security and Fire Alarm Systems Installers
"keep informed on industry news and trends, products, services, competitors, relevant information about legacy, existing, and emerging technologies, and the latest product-line developments.",15.0,"keep informed on industry news and trends, products, services, competitors, relevant information about legacy, existing, and emerging technologies, and the latest product-line developments.",41-9031.00,9692.0,Sales Engineers
keep records of calls placed and charges incurred.,29.0,keep records of calls placed and charges incurred.,43-2011.00,4639.0,"Switchboard Operators, Including Answering Service"
"keep records of customer interactions or transactions, recording details of inquiries, complaints, or comments, as well as actions taken.",4029.0,"keep records of customer interactions or transactions, recording details of inquiries, complaints, or comments, as well as actions taken.",43-4051.00,2578.0,Customer Service Representatives
keep records of goods dispatched or received.,16.0,keep records of goods dispatched or received.,43-5011.01,17690.0,Freight Forwarders
keep records of invoices and support documents.,128.0,keep records of invoices and support documents.,43-3021.00,23246.0,Billing and Posting Clerks
"keep records of room availability and guests' accounts, manually or using computers.",37.0,"keep records of room availability and guests' accounts, manually or using computers.",43-4081.00,2612.0,"Hotel, Motel, and Resort Desk Clerks"
key and program specified commands and engineering specifications into computer system to change functions and test final layout.,146.0,key and program specified commands and engineering specifications into computer system to change functions and test final layout.,17-3012.00,21961.0,Electrical and Electronics Drafters
key in processing instructions to program electronic equipment.,271.0,key in processing instructions to program electronic equipment.,51-6061.00,14137.0,Textile Bleaching and Dyeing Machine Operators and Tenders
label and record contents of exposed film and note details on report forms.,16.0,label and record contents of exposed film and note details on report forms.,,,
lead tours and answer visitors' questions about the exhibits.,25.0,lead tours and answer visitors' questions about the exhibits.,39-3031.00,20767.0,"Ushers, Lobby Attendants, and Ticket Takers"
learn about characters in scripts and their relationships to each other to develop role interpretations.,105.0,learn about characters in scripts and their relationships to each other to develop role interpretations.,27-2011.00,7645.0,Actors
learn about competitors' products or consumers' interests or concerns to answer questions or provide more complete information.,33.0,learn about competitors' products or consumers' interests or concerns to answer questions or provide more complete information.,41-9011.00,13201.0,Demonstrators and Product Promoters
listen and provide emotional support and encouragement to psychiatric patients.,28.0,listen and provide emotional support and encouragement to psychiatric patients.,31-1133.00,20578.0,Psychiatric Aides
"listen to and resolve customer complaints regarding services, products, or personnel.",223.0,"listen to and resolve customer complaints regarding services, products, or personnel.",41-1012.00,9660.0,First-Line Supervisors of Non-Retail Sales Workers
listen to and resolve customers' complaints regarding products or services.,348.0,listen to and resolve customers' complaints regarding products or services.,53-3031.00,3155.0,Driver/Sales Workers
locate and attach appropriate files to incoming correspondence requiring replies.,19.0,locate and attach appropriate files to incoming correspondence requiring replies.,43-6014.00,2793.0,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"
"locate and distribute resources, such as periodicals or curricula, to enhance the effectiveness of educational programs.",35.0,"locate and distribute resources, such as periodicals or curricula, to enhance the effectiveness of educational programs.",21-2021.00,12988.0,"Directors, Religious Activities and Education"
"locate and notify customers of delinquent accounts by mail, telephone, or personal visits to solicit payment.",115.0,"locate and notify customers of delinquent accounts by mail, telephone, or personal visits to solicit payment.",43-3011.00,2475.0,Bill and Account Collectors
locate and obtain existing geographic information databases.,22.0,locate and obtain existing geographic information databases.,19-3092.00,5506.0,Geographers
"locate and review research articles or environmental, historical, or technical reports.",439.0,"locate and review research articles or environmental, historical, or technical reports.",19-2042.00,20390.0,"Geoscientists, Except Hydrologists and Geographers"
"locate files relating to specified design project in database library, load program into computer, and record completed job data.",65.0,"locate files relating to specified design project in database library, load program into computer, and record completed job data.",17-3012.00,21953.0,Electrical and Electronics Drafters
"locate library materials for patrons, including books, periodicals, tape cassettes, braille volumes, and pictures.",130.0,"locate library materials for patrons, including books, periodicals, tape cassettes, braille volumes, and pictures.",43-4121.00,2646.0,"Library Assistants, Clerical"
"locate suppliers, using sources such as catalogs and the internet, and interview them to gather information about products to be ordered.",28.0,"locate suppliers, using sources such as catalogs and the internet, and interview them to gather information about products to be ordered.",43-3061.00,2544.0,Procurement Clerks
locate unusual or unique information in response to specific requests.,20.0,locate unusual or unique information in response to specific requests.,25-4022.00,22420.0,Librarians and Media Collections Specialists
"locate vendors of materials, equipment or supplies, and interview them to determine product availability and terms of sales.",129.0,"locate vendors of materials, equipment or supplies, and interview them to determine product availability and terms of sales.",11-3061.00,1021.0,Purchasing Managers
maintain a current file of examination protocols.,32.0,maintain a current file of examination protocols.,29-2034.00,22823.0,Radiologic Technologists and Technicians
"maintain access to, and security of, highly sensitive materials.",15.0,"maintain access to, and security of, highly sensitive materials.",43-5031.00,2712.0,Public Safety Telecommunicators
"maintain and administer computer networks and related computing environments including computer hardware, systems software, applications software, and all configurations.",87.0,"maintain and administer computer networks and related computing environments including computer hardware, systems software, applications software, and all configurations.",,,
"maintain and review account records, updating and recategorizing them according to status changes.",51.0,"maintain and review account records, updating and recategorizing them according to status changes.",13-2072.00,21644.0,Loan Officers
"maintain and update human resources documents, such as organizational charts, employee handbooks or directories, or performance evaluation forms.",23.0,"maintain and update human resources documents, such as organizational charts, employee handbooks or directories, or performance evaluation forms.",13-1071.00,18863.0,Human Resources Specialists
maintain client databases.,30.0,maintain client databases.,11-9179.02,17617.0,Spa Managers
"maintain contact with kitchen staff, management, serving staff, and customers to ensure that dining details are handled properly and customers' concerns are addressed.",33.0,"maintain contact with kitchen staff, management, serving staff, and customers to ensure that dining details are handled properly and customers' concerns are addressed.",35-9031.00,2302.0,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop"
"maintain current knowledge of organizational policies and procedures, federal and state policies and directives, and current accounting standards.",41.0,"maintain current knowledge of organizational policies and procedures, federal and state policies and directives, and current accounting standards.",11-3031.01,8859.0,Treasurers and Controllers
"maintain current knowledge of relevant regulations, including proposed and final rules.",27.0,"maintain current knowledge of relevant regulations, including proposed and final rules.",11-9199.01,18030.0,Regulatory Affairs Managers
"maintain customer records and follow up periodically with telephone, mail, or personal reminders of services due.",21.0,"maintain customer records and follow up periodically with telephone, mail, or personal reminders of services due.",53-6031.00,10723.0,Automotive and Watercraft Service Attendants
"maintain customer records, using automated systems.",602.0,"maintain customer records, using automated systems.",41-4011.00,11241.0,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
maintain databases of experiment characteristics or results.,25.0,maintain databases of experiment characteristics or results.,17-2031.00,21853.0,Bioengineers and Biomedical Engineers
maintain databases of logistics information.,91.0,maintain databases of logistics information.,13-1081.02,15898.0,Logistics Analysts
"maintain documentation of compliance activities, such as complaints received or investigation outcomes.",15.0,"maintain documentation of compliance activities, such as complaints received or investigation outcomes.",11-9199.02,15638.0,Compliance Managers
maintain familiarity with aspects of local real estate markets.,117.0,maintain familiarity with aspects of local real estate markets.,13-2023.00,21564.0,Appraisers and Assessors of Real Estate
"maintain food and equipment inventories, and keep inventory records.",16.0,"maintain food and equipment inventories, and keep inventory records.",11-9051.00,1090.0,Food Service Managers
maintain input or data quality of risk management systems.,56.0,maintain input or data quality of risk management systems.,13-2054.00,21625.0,Financial Risk Specialists
"maintain knowledge of current sales and promotions, policies regarding payment and exchanges, and security practices.",20.0,"maintain knowledge of current sales and promotions, policies regarding payment and exchanges, and security practices.",41-2031.00,696.0,Retail Salespersons
"maintain knowledge of real estate law, local economies, fair housing laws, types of available mortgages, financing options, and government programs.",34.0,"maintain knowledge of real estate law, local economies, fair housing laws, types of available mortgages, financing options, and government programs.",41-9021.00,4605.0,Real Estate Brokers
"maintain knowledge of tax code changes, and of accounting procedures and theory to properly evaluate financial information.",23.0,"maintain knowledge of tax code changes, and of accounting procedures and theory to properly evaluate financial information.",13-2081.00,5289.0,"Tax Examiners and Collectors, and Revenue Agents"
"maintain knowledge of, comply with, and enforce all institutional policies, rules, procedures, and regulations.",73.0,"maintain knowledge of, comply with, and enforce all institutional policies, rules, procedures, and regulations.",33-1011.00,9431.0,First-Line Supervisors of Correctional Officers
"maintain library of model documents, templates, or other reusable knowledge assets.",97.0,"maintain library of model documents, templates, or other reusable knowledge assets.",15-2051.01,16135.0,Business Intelligence Analysts
maintain logistics records in accordance with corporate policies.,43.0,maintain logistics records in accordance with corporate policies.,13-1081.02,15899.0,Logistics Analysts
maintain logs of network activity.,31.0,maintain logs of network activity.,15-1231.00,19008.0,Computer Network Support Specialists
"maintain networks by performing activities such as file addition, deletion, or backup.",322.0,"maintain networks by performing activities such as file addition, deletion, or backup.",15-1241.00,18977.0,Computer Network Architects
maintain or modify all financial analytic models in use.,23.0,maintain or modify all financial analytic models in use.,13-2099.01,15987.0,Financial Quantitative Analysts
maintain or modify existing geographic information systems (gis) databases.,42.0,maintain or modify existing geographic information systems (gis) databases.,15-1299.02,21717.0,Geographic Information Systems Technologists and Technicians
"maintain or repair plumbing by replacing defective washers, replacing or mending broken pipes, or opening clogged drains.",15.0,"maintain or repair plumbing by replacing defective washers, replacing or mending broken pipes, or opening clogged drains.",47-2152.00,23473.0,"Plumbers, Pipefitters, and Steamfitters"
"maintain or update business intelligence tools, databases, dashboards, systems, or methods.",43.0,"maintain or update business intelligence tools, databases, dashboards, systems, or methods.",15-2051.01,16139.0,Business Intelligence Analysts
"maintain or update records of client account activity, including financial transactions, counseling session notes, correspondence, document images, or client inquiries.",87.0,"maintain or update records of client account activity, including financial transactions, counseling session notes, correspondence, document images, or client inquiries.",13-2071.00,18940.0,Credit Counselors
"maintain portfolios of artistic work to demonstrate styles, interests, and abilities.",29.0,"maintain portfolios of artistic work to demonstrate styles, interests, and abilities.",27-1013.00,10993.0,"Fine Artists, Including Painters, Sculptors, and Illustrators"
"maintain records and compile statistical reports concerning personnel-related data such as hires, transfers, performance appraisals, and absenteeism rates.",20.0,"maintain records and compile statistical reports concerning personnel-related data such as hires, transfers, performance appraisals, and absenteeism rates.",11-3121.00,993.0,Human Resources Managers
"maintain records of business transactions and product inventories, reporting data to companies or government agencies as necessary.",27.0,"maintain records of business transactions and product inventories, reporting data to companies or government agencies as necessary.",13-1021.00,12883.0,"Buyers and Purchasing Agents, Farm Products"
"maintain records of daily data communication transactions, problems and remedial actions taken, or installation activities.",15.0,"maintain records of daily data communication transactions, problems and remedial actions taken, or installation activities.",15-1232.00,1287.0,Computer User Support Specialists
"maintain records of sales, rental or usage activity, special permits issued, maintenance and operating costs, or property availability.",395.0,"maintain records of sales, rental or usage activity, special permits issued, maintenance and operating costs, or property availability.",11-9141.00,7226.0,"Property, Real Estate, and Community Association Managers"
"maintain records of students' assessment results, progress, feedback, or school performance, ensuring confidentiality of all records.",36.0,"maintain records of students' assessment results, progress, feedback, or school performance, ensuring confidentiality of all records.",25-3041.00,17029.0,Tutors
maintain sales forecasting reports.,16.0,maintain sales forecasting reports.,41-9031.00,9700.0,Sales Engineers
"maintain understanding of current web technologies or programming practices through continuing education, reading, or participation in professional conferences, workshops, or groups.",474.0,"maintain understanding of current web technologies or programming practices through continuing education, reading, or participation in professional conferences, workshops, or groups.",15-1254.00,14701.0,Web Developers
"maintain understanding of current web technologies or programming practices through continuing education, reading, or participation in professional conferences, workshops, or groups.",474.0,"maintain understanding of current web technologies or programming practices through continuing education, reading, or participation in professional conferences, workshops, or groups.",15-1255.00,21704.0,Web and Digital Interface Designers
"maintain updated client records with plans, notes, appropriate forms, or related information.",29.0,"maintain updated client records with plans, notes, appropriate forms, or related information.",21-1094.00,19031.0,Community Health Workers
"make and confirm reservations for transportation and accommodations, using telephones, faxes, mail, and computers.",300.0,"make and confirm reservations for transportation and accommodations, using telephones, faxes, mail, and computers.",43-4181.00,9750.0,Reservation and Transportation Ticket Agents and Travel Clerks
make and confirm reservations.,154.0,make and confirm reservations.,43-4081.00,2620.0,"Hotel, Motel, and Resort Desk Clerks"
"make appointments, keep records, or perform other clerical duties in doctors' offices or clinics.",21.0,"make appointments, keep records, or perform other clerical duties in doctors' offices or clinics.",29-2061.00,528.0,Licensed Practical and Licensed Vocational Nurses
make bids or offers to buy or sell securities.,49.0,make bids or offers to buy or sell securities.,41-3031.00,23192.0,"Securities, Commodities, and Financial Services Sales Agents"
make many quick changes backstage during fashion shows and yet maintain poised appearance before audiences.,18.0,make many quick changes backstage during fashion shows and yet maintain poised appearance before audiences.,,,
make promotional appearances at public or private events to represent their employers.,56.0,make promotional appearances at public or private events to represent their employers.,27-3011.00,3933.0,Broadcast Announcers and Radio Disc Jockeys
"make reservations for patrons, such as for dinner, spa treatments, or golf tee times, and obtain tickets to special events.",46.0,"make reservations for patrons, such as for dinner, spa treatments, or golf tee times, and obtain tickets to special events.",39-6012.00,20259.0,Concierges
make travel arrangements for executives.,80.0,make travel arrangements for executives.,43-6011.00,2779.0,Executive Secretaries and Executive Administrative Assistants
make travel arrangements for sightseeing or other tours.,29.0,make travel arrangements for sightseeing or other tours.,39-6012.00,4530.0,Concierges
