anthropic_task_description,api_usage_count,onet_soc_code,onet_task_id,onet_task_description,onet_task_type,onet_occupation_title,onet_occupation_description,match_method,match_score,Job Zone,typical_education,typical_education_pct,task_importance,task_relevance,dwa_ids,dwa_titles,iwa_ids,nonroutine_cognitive_analytical,nonroutine_cognitive_interpersonal,nonroutine_manual,nonroutine_total
"produce reports or presentations that outline findings, explain risk positions, or recommend changes.",43.0,13-2054.00,21629.0,"Produce reports or presentations that outline findings, explain risk positions, or recommend changes.",,Financial Risk Specialists,"Analyze and measure exposure to credit and market risk threatening the assets, earning capacity, or economic state of an organization. May make recommendations to limit risk.",exact,100.0,4,,,,,4.A.4.a.3.I03.D02,Present business-related information to audiences.,4.A.4.a.3.I03,,,,
"examine cell samples to detect abnormalities in the color, shape, or size of cellular components and patterns.",43.0,29-2011.02,17395.0,"Examine cell samples to detect abnormalities in the color, shape, or size of cellular components and patterns.",Core,Cytotechnologists,"Stain, mount, and study cells to detect evidence of cancer, hormonal abnormalities, and other pathological conditions following established standards and practices.",exact,100.0,5,6.0,50.0,5.0,100.0,4.A.2.a.4.I10.D01,Analyze laboratory specimens to detect abnormalities or other problems.,4.A.2.a.4.I10,0.35122699386503076,0.3825944170771756,0.4046997389033942,0.3871866295264625
"prepare and maintain a directory of suppliers, contractors and subcontractors.",43.0,13-1051.00,88.0,"Prepare and maintain a directory of suppliers, contractors and subcontractors.",Core,Cost Estimators,"Prepare cost estimates for product manufacturing, construction projects, or services to aid management in bidding on or determining price of product or service. May specialize according to particular service performed or type of product manufactured.",exact,100.0,4,6.0,81.82,3.16,90.91,4.A.3.b.6.I08.D14,Maintain data in information systems or databases.,4.A.3.b.6.I08,0.757668711656442,0.5977011494252874,0.015665796344647532,0.45543175487465193
present research findings to groups of people.,43.0,19-4061.00,12961.0,Present research findings to groups of people.,Core,Social Science Research Assistants,"Assist social scientists in laboratory, survey, and other social science research. May help prepare findings for publication and assist in laboratory analysis, quality control, or data management.",exact,100.0,4,6.0,52.73,3.46,67.06,4.A.3.b.6.I03.D04,Prepare scientific or technical reports or presentations.,4.A.3.b.6.I03,0.6963190184049082,0.41215106732348117,0.12271540469973889,0.40598885793871875
monitor raw data quality during collection and make equipment corrections as necessary.,43.0,19-4099.03,16989.0,"Monitor raw data quality during collection, and make equipment corrections as necessary.",Supplemental,Remote Sensing Technicians,"Apply remote sensing technologies to assist scientists in areas such as natural resources, urban planning, or homeland security. May prepare flight plans or sensor configurations for flight trips.",exact,100.0,4,6.0,62.04,3.75,37.18,4.A.3.a.2.I09.D04,Calibrate scientific or technical equipment.,4.A.3.a.2.I09,0.687116564417178,0.47126436781609204,0.597911227154047,0.6803621169916436
"attend sales or trade meetings or read related publications to obtain information about market conditions, business trends, environmental regulations, or industry developments.",43.0,41-4011.00,20615.0,"Attend sales or trade meetings or read related publications to obtain information about market conditions, business trends, environmental regulations, or industry developments.",Core,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","Sell goods for wholesalers or manufacturers where technical or scientific knowledge is required in such areas as biology, engineering, chemistry, and electronics, normally obtained from at least 2 years of postsecondary education.",exact,100.0,4,6.0,39.48,3.27,89.53,4.A.1.a.2.I08.D01; 4.A.2.b.3.I01.D04,Attend events to develop professional knowledge.; Monitor market conditions or trends.,4.A.1.a.2.I08; 4.A.2.b.3.I01,0.3052147239263803,0.42692939244663386,0.11749347258485639,0.23189415041782735
"maintain or update business intelligence tools, databases, dashboards, systems, or methods.",43.0,15-2051.01,16139.0,"Maintain or update business intelligence tools, databases, dashboards, systems, or methods.",Core,Business Intelligence Analysts,Produce financial and market intelligence by querying data repositories and generating periodic reports. Devise methods for identifying data patterns and trends in available information sources.,exact,100.0,4,6.0,68.18,4.36,100.0,4.A.3.b.1.I06.D05,Update computer database information.,4.A.3.b.1.I06,0.8159509202453988,0.47126436781609204,0.0026109660574412555,0.42130919220055735
maintain logistics records in accordance with corporate policies.,43.0,13-1081.02,15899.0,Maintain logistics records in accordance with corporate policies.,Core,Logistics Analysts,"Analyze product delivery or supply chain processes to identify or recommend changes. May manage route activity including invoicing, electronic bills, and shipment tracing.",exact,100.0,4,6.0,63.64,3.91,100.0,4.A.3.b.6.I08.D14,Maintain data in information systems or databases.,4.A.3.b.6.I08,0.7453987730061349,0.5977011494252874,0.2506527415143603,0.5752089136490252
"answer customers' questions, and explain available services such as deposit accounts, bonds, and securities.",43.0,43-4141.00,4722.0,"Answer customers' questions and explain available services, such as deposit accounts, bonds, and securities.",Core,New Accounts Clerks,Interview persons desiring to open accounts in financial institutions. Explain account services available to prospective customers and assist them in preparing applications.,exact,100.0,3,2.0,45.6,4.47,97.28,4.A.4.a.1.I01.D03,Discuss goods or services information with customers or patrons.,4.A.4.a.1.I01,0.26226993865030684,0.5977011494252874,0.33159268929503916,0.3990250696378832
"plan, organize, or direct activities concerned with the construction or maintenance of structures, facilities, or systems.",43.0,11-9021.00,3315.0,"Plan, organize, or direct activities concerned with the construction or maintenance of structures, facilities, or systems.",Core,Construction Managers,"Plan, direct, or coordinate, usually through subordinate supervisory personnel, activities concerned with the construction and maintenance of structures, facilities, and systems. Participate in the conceptual development of a construction project and oversee its organization, scheduling, budgeting, and implementation. Includes managers in specialized construction fields, such as carpentry or plumbing.",exact,100.0,4,6.0,90.0,4.1,100.0,4.A.4.b.4.I10.D07; 4.A.4.b.4.I12.D27,Direct facility maintenance or repair activities.; Manage construction activities.,4.A.4.b.4.I10; 4.A.4.b.4.I12,0.6319018404907978,0.722495894909688,0.27676240208877284,0.5905292479108638
write detailed functional specifications that document the hardware development process and support hardware introduction.,42.0,17-2061.00,7402.0,Write detailed functional specifications that document the hardware development process and support hardware introduction.,Core,Computer Hardware Engineers,"Research, design, develop, or test computer or computer-related equipment for commercial, industrial, military, or scientific use. May supervise the manufacturing and installation of computer or computer-related equipment and components.",exact,100.0,4,6.0,48.28,4.0,100.0,4.A.3.b.6.I09.D01,Prepare procedural documents.,4.A.3.b.6.I09,0.8665644171779142,0.48604269293924474,0.3498694516971279,0.6357938718662954
"provide logistics technology or information for effective and efficient support of product, equipment, or system manufacturing or service.",42.0,13-1081.01,15877.0,"Provide logistics technology or information for effective and efficient support of product, equipment, or system manufacturing or service.",Core,Logistics Engineers,"Design or analyze operational solutions for projects such as transportation optimization, network modeling, process and methods analysis, cost containment, capacity enhancement, routing and shipment optimization, or information management.",exact,100.0,4,6.0,75.0,3.94,84.21,4.A.4.b.6.I05.D02,Advise others on logistics topics.,4.A.4.b.6.I05,0.7806748466257669,0.5993431855500821,0.22454308093994774,0.5779944289693594
"read material to determine index items and arrange them alphabetically or topically, indicating page or chapter location.",42.0,27-3041.00,1795.0,"Read material to determine index items and arrange them alphabetically or topically, indicating page or chapter location.",Supplemental,Editors,"Plan, coordinate, revise, or edit written material. May review proposals and drafts for possible publication.",exact,100.0,4,6.0,80.43,2.54,45.96,4.A.2.b.1.I07.D01,Edit written materials.,4.A.2.b.1.I07,0.682515337423313,0.5484400656814451,0.21932114882506523,0.5090529247910864
"write technical reports or other documentation, such as handbooks or bulletins, for use by engineering staff, management, or customers.",42.0,17-2011.00,1340.0,"Write technical reports or other documentation, such as handbooks or bulletins, for use by engineering staff, management, or customers.",Core,Aerospace Engineers,"Perform engineering duties in designing, constructing, and testing aircraft, missiles, and spacecraft. May conduct basic and applied research to evaluate adaptability of materials and equipment to aircraft design and manufacture. May recommend improvements in testing equipment and techniques.",exact,100.0,4,6.0,59.05,3.83,87.32,4.A.3.b.6.I09.D01,Prepare procedural documents.,4.A.3.b.6.I09,0.8665644171779142,0.46469622331691307,0.36292428198433424,0.6337047353760447
produce a computer-generated or film image for interpretation by a physician.,42.0,29-2033.00,4152.0,Produce a computer-generated or film image for interpretation by a physician.,Core,Nuclear Medicine Technologists,"Prepare, administer, and measure radioactive isotopes in therapeutic, diagnostic, and tracer studies using a variety of radioisotope equipment. Prepare stock solutions of radioactive materials and calculate doses to be administered by radiologists. Subject patients to radiation. Execute blood volume, red cell survival, and fat absorption studies following standard laboratory techniques.",exact,100.0,3,5.0,62.63,4.76,100.0,4.A.3.a.3.I04.D01,Process x-rays or other medical images.,4.A.3.a.3.I04,0.38343558282208584,0.5418719211822661,0.7232375979112271,0.6392757660167133
access computerized financial information to answer general questions as well as those related to specific accounts.,42.0,43-3031.00,2494.0,Access computerized financial information to answer general questions as well as those related to specific accounts.,Core,"Bookkeeping, Accounting, and Auditing Clerks","Compute, classify, and record numerical data to keep financial records complete. Perform any combination of routine calculating, posting, and verifying duties to obtain primary financial data for use in maintaining accounting records. May also check the accuracy of figures, calculations, and postings pertaining to business transactions recorded by other workers.",exact,100.0,3,2.0,40.89,4.19,72.33,4.A.1.a.1.I04.D07,"Search files, databases or reference materials to obtain needed information.",4.A.1.a.1.I04,0.3650306748466258,0.39901477832512317,0.2219321148825065,0.3029247910863511
stay up-to-date on new regulations and current events regarding food science by reviewing scientific literature.,42.0,19-1012.00,18612.0,Stay up to date on new regulations and current events regarding food science by reviewing scientific literature.,Core,Food Scientists and Technologists,"Use chemistry, microbiology, engineering, and other sciences to study the principles underlying the processing and deterioration of foods; analyze food content to determine levels of vitamins, fat, sugar, and protein; discover new food sources; research ways to make processed foods safe, palatable, and healthful; and apply food science knowledge to determine best ways to process, package, preserve, store, and distribute food.",fuzzy,99.0909090909091,4,6.0,56.52,3.86,100.0,4.A.2.b.3.I01.D01,Review professional literature to maintain professional knowledge.,4.A.2.b.3.I01,0.7607361963190186,0.5763546798029557,0.5013054830287206,0.7068245125348194
"communicate students' progress to students, parents or teachers in written progress reports, in person, by phone, or by email.",42.0,25-3041.00,17032.0,"Communicate students' progress to students, parents, or teachers in written progress reports, in person, by phone, or by email.",Core,Tutors,Instruct individual students or small groups of students in academic subjects to support formal class instruction or to prepare students for standardized or admissions tests.,exact,100.0,3,6.0,40.91,3.89,86.36,4.A.4.b.6.I07.D08,Discuss student progress with parents or guardians.,4.A.4.b.6.I07,0.6211656441717793,0.5632183908045978,0.16449086161879892,0.45821727019498615
analyze details of sales territories to assess their growth potential and to set quotas.,42.0,41-1012.00,9671.0,Analyze details of sales territories to assess their growth potential and to set quotas.,Supplemental,First-Line Supervisors of Non-Retail Sales Workers,"Directly supervise and coordinate activities of sales workers other than retail sales workers. May perform duties such as budgeting, accounting, and personnel work, in addition to supervisory duties.",exact,100.0,4,6.0,44.97,3.81,49.91,4.A.2.a.4.I02.D04,Analyze market conditions or trends.,4.A.2.a.4.I02,0.5935582822085891,0.7684729064039408,0.4621409921671018,0.6915041782729807
"measure parts to verify specified dimensions or settings, such as camera shutter speed or light meter reading accuracy, using measuring instruments.",42.0,49-9061.00,8439.0,"Measure parts to verify specified dimensions or settings, such as camera shutter speed or light meter reading accuracy, using measuring instruments.",Core,Camera and Photographic Equipment Repairers,"Repair and adjust cameras and photographic equipment, including commercial video and motion picture camera equipment.",exact,100.0,3,2.0,32.31,3.97,94.47,4.A.1.b.3.I01.D06,Measure distances or dimensions.,4.A.1.b.3.I01,0.4539877300613498,0.24630541871921172,0.3681462140992167,0.3565459610027856
maintain or modify existing geographic information systems (gis) databases.,42.0,15-1299.02,21717.0,Maintain or modify existing Geographic Information Systems (GIS) databases.,Core,Geographic Information Systems Technologists and Technicians,"Assist scientists or related professionals in building, maintaining, modifying, or using geographic information systems (GIS) databases. May also perform some custom application development or provide user support.",exact,100.0,3,,,4.4,98.31,4.A.2.b.2.I06.D04; 4.A.3.b.1.I06.D05,Create databases to store electronic data.; Update computer database information.,4.A.2.b.2.I06; 4.A.3.b.1.I06,0.825153374233129,0.4614121510673235,0.24281984334203655,0.5494428969359334
"initiate, facilitate, and moderate classroom discussions.",42.0,25-1011.00,5667.0,"Initiate, facilitate, and moderate classroom discussions.",Core,"Business Teachers, Postsecondary","Teach courses in business administration and management, such as accounting, finance, human resources, labor and industrial relations, marketing, and operations research. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",exact,100.0,5,11.0,72.77,4.57,99.4,4.A.4.b.3.I02.D05,Guide class discussions.,4.A.4.b.3.I02,0.682515337423313,0.5254515599343187,0.18276762402088773,0.47980501392757685
create or modify web-based bioinformatics tools.,42.0,19-1029.01,16788.0,Create or modify web-based bioinformatics tools.,Core,Bioinformatics Scientists,"Conduct research using bioinformatics theory and methods in areas such as pharmaceuticals, medical technology, biotechnology, computational biology, proteomics, computer information science, biology and medical informatics. May design databases and develop algorithms for processing and analyzing genomic information, or other biological information.",exact,100.0,5,6.0,33.61,3.38,77.72,4.A.2.b.2.I02.D06,Develop software or applications for scientific or technical use.,4.A.2.b.2.I02,0.9647239263803681,0.6272577996715928,0.21148825065274152,0.6664345403899722
examine societal issues and their relationship with both technical systems and the environment.,42.0,19-2041.03,19971.0,Examine societal issues and their relationship with both technical systems and the environment.,Core,Industrial Ecologists,Apply principles and processes of natural ecosystems to develop models for efficient industrial systems. Use knowledge from the physical and social sciences to maximize effective use of natural resources in the production and use of goods and services. Examine societal issues and their relationship with both technical systems and the environment.,exact,100.0,5,8.0,65.22,3.48,100.0,4.A.1.a.1.I18.D03,Conduct research on social issues.,4.A.1.a.1.I18,0.8190184049079755,0.3760262725779968,0.14882506527415146,0.4603064066852369
"prepare or monitor project schedules, budgets, or cost control systems.",41.0,15-1241.00,18983.0,"Prepare or monitor project schedules, budgets, or cost control systems.",Core,Computer Network Architects,"Design and implement computer and information networks, such as local area networks (LAN), wide area networks (WAN), intranets, extranets, and other data communications networks. Perform network modeling, analysis, and planning, including analysis of capacity needs for network infrastructures. May also design network and computer security measures. May research and recommend network and data communications hardware and software.",exact,100.0,4,6.0,55.0,3.12,80.0,4.A.4.b.4.I09.D06; 4.A.4.b.4.I09.D07,Manage budgets for appropriate resource allocation.; Manage financial activities of the organization.,4.A.4.b.4.I09,0.6395705521472393,0.43678160919540227,0.4073107049608355,0.5424791086350976
review clinical protocols to ensure collection of data needed for regulatory submissions.,41.0,13-1041.07,18065.0,Review clinical protocols to ensure collection of data needed for regulatory submissions.,Core,Regulatory Affairs Specialists,"Coordinate and document internal regulatory processes, such as internal audits, inspections, license renewals, or registrations. May compile and prepare materials for submission to regulatory agencies.",exact,100.0,4,6.0,80.0,4.0,100.0,4.A.2.a.4.I09.D04,Evaluate applicable laws and regulations to determine impact on organizational activities.,4.A.2.a.4.I09,0.5782208588957054,0.5993431855500823,0.08093994778067887,0.40947075208913664
"prepare or direct preparation of financial statements, business activity reports, financial position forecasts, annual budgets, or reports required by regulatory agencies.",41.0,11-3031.01,8856.0,"Prepare or direct preparation of financial statements, business activity reports, financial position forecasts, annual budgets, or reports required by regulatory agencies.",Core,Treasurers and Controllers,"Direct financial activities, such as planning, procurement, and investments for all or part of an organization.",exact,100.0,4,6.0,56.0,4.14,88.0,4.A.3.b.6.I01.D02; 4.A.3.b.6.I14.D02; 4.A.4.b.4.I09.D02,"Direct financial operations.; Prepare financial documents, reports, or budgets.; Prepare reports related to compliance matters.",4.A.3.b.6.I01; 4.A.3.b.6.I14; 4.A.4.b.4.I09,0.776073619631902,0.7733990147783253,0.08355091383812012,0.5745125348189415
"recommend and explain the use of cosmetics, lotions, and creams to soften and lubricate skin and enhance and restore natural appearance.",41.0,39-5012.00,652.0,"Recommend and explain the use of cosmetics, lotions, and creams to soften and lubricate skin and enhance and restore natural appearance.",Supplemental,"Hairdressers, Hairstylists, and Cosmetologists","Provide beauty services, such as cutting, coloring, and styling hair, and massaging and treating scalp. May shampoo hair, apply makeup, dress wigs, remove hair, and provide nail and skincare services.",exact,100.0,3,3.0,78.97,4.09,58.2,4.A.4.b.6.I01.D03,Provide medical or cosmetic advice for clients.,4.A.4.b.6.I01,0.5598159509202454,0.5139573070607554,0.37597911227154046,0.5222841225626743
"conduct research in a particular field of knowledge and publish findings in scholarly journals, books, or electronic media.",41.0,25-1124.00,6345.0,"Conduct research in a particular field of knowledge and publish findings in scholarly journals, books, or electronic media.",Core,"Foreign Language and Literature Teachers, Postsecondary",Teach languages and literature courses in languages other than English. Includes teachers of American Sign Language (ASL). Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,exact,100.0,5,11.0,73.42,4.39,81.79,4.A.2.b.3.I01.D10; 4.A.3.b.6.I16.D01,"Research topics in area of expertise.; Write articles, books or other original materials in area of expertise.",4.A.2.b.3.I01; 4.A.3.b.6.I16,0.7177914110429447,0.2857142857142858,0.1462140992167102,0.37465181058495833
measure and analyze web site usage data to maximize search engine returns or refine customer interfaces.,41.0,13-1199.06,15719.0,Measure and analyze Web site usage data to maximize search engine returns or refine customer interfaces.,Core,Online Merchants,"Conduct retail activities of businesses operating exclusively online. May perform duties such as preparing business strategies, buying merchandise, managing inventory, implementing marketing activities, fulfilling and shipping online orders, and balancing financial records.",exact,100.0,4,6.0,41.29,3.6,69.81,4.A.2.a.4.I11.D04,Analyze business or financial data.,4.A.2.a.4.I11,0.5460122699386504,0.46633825944170776,0.23498694516971277,0.4206128133704737
"process, prepare, and submit business or government forms, such as submitting applications for coverage to insurance carriers.",41.0,43-9041.00,23329.0,"Process, prepare, and submit business or government forms, such as submitting applications for coverage to insurance carriers.",Supplemental,Insurance Claims and Policy Processing Clerks,"Process new insurance policies, modifications to existing policies, and claims forms. Obtain information from policyholders to verify the accuracy and completeness of information on claims forms, applications and related documents, and company records. Update existing policies and company records to reflect changes requested by policyholders and insurance company representatives.",exact,100.0,2,2.0,54.85,4.45,52.89,4.A.3.b.6.I13.D05,"Prepare documentation for contracts, transactions, or regulatory compliance.",4.A.3.b.6.I13,0.3174846625766871,0.3201970443349755,0.14882506527415146,0.2089136490250698
review or evaluate proposals or bids to make recommendations regarding awarding of contracts.,41.0,11-9199.10,15829.0,Review or evaluate proposals or bids to make recommendations regarding awarding of contracts.,Core,Wind Energy Development Managers,"Lead or manage the development and evaluation of potential wind energy business opportunities, including environmental studies, permitting, and proposals. May also manage construction of projects.",exact,100.0,4,6.0,66.85,3.62,95.07,4.A.2.a.4.I05.D07,Evaluate environmental or sustainability projects.,4.A.2.a.4.I05,0.6487730061349695,0.6206896551724139,0.1540469973890339,0.48955431754874656
furnish customers with information on events or activities.,41.0,39-1014.00,23162.0,Furnish customers with information on events or activities.,,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",Directly supervise and coordinate activities of entertainment and recreation related workers.,exact,100.0,2,,,,,4.A.4.a.3.I03.D03,Provide attraction or event information to patrons.,4.A.4.a.3.I03,,,,
"conduct research on consumer opinions and buying habits, and identify target audiences for green products, services, or technologies.",41.0,11-2011.00,21220.0,"Conduct research on consumer opinions and buying habits, and identify target audiences for products, services, or technologies.",,Advertising and Promotions Managers,"Plan, direct, or coordinate advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or giveaways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis.",fuzzy,97.61904761904762,4,6.0,60.02,,,4.A.1.a.1.I14.D01; 4.A.2.a.4.I02.D08,Analyze market research data.; Conduct market research.,4.A.1.a.1.I14; 4.A.2.a.4.I02,0.6334355828220858,0.58128078817734,0.21148825065274152,0.4965181058495823
"perform geospatial data building, modeling, or analysis, using advanced spatial analysis, data manipulation, or cartography software.",41.0,15-1299.02,21722.0,"Perform geospatial data building, modeling, or analysis, using advanced spatial analysis, data manipulation, or cartography software.",Core,Geographic Information Systems Technologists and Technicians,"Assist scientists or related professionals in building, maintaining, modifying, or using geographic information systems (GIS) databases. May also perform some custom application development or provide user support.",exact,100.0,3,,,4.03,99.56,4.A.2.b.2.I26.D03,Develop scientific or mathematical models.,4.A.2.b.2.I26,0.825153374233129,0.4614121510673235,0.24281984334203655,0.5494428969359334
"provide information about establishment, such as location of departments or offices, employees within the organization, or services provided.",41.0,43-4171.00,753.0,"Provide information about establishment, such as location of departments or offices, employees within the organization, or services provided.",Core,Receptionists and Information Clerks,"Answer inquiries and provide information to the general public, customers, visitors, and other interested parties regarding activities conducted at establishment and location of departments, offices, and employees within the organization.",exact,100.0,2,2.0,49.48,4.02,88.32,4.A.4.a.1.I01.D03,Discuss goods or services information with customers or patrons.,4.A.4.a.1.I01,0.21932515337423303,0.42692939244663397,0.3577023498694517,0.3210306406685238
"answer telephones, and route calls or deliver messages.",41.0,39-9041.00,6986.0,"Answer telephones, and route calls or deliver messages.",Core,Residential Advisors,"Coordinate activities in resident facilities in secondary school and college dormitories, group homes, or similar establishments. Order supplies and determine need for maintenance, repairs, and furnishings. May maintain household records and assign rooms. May assist residents with problem solving or refer them to counseling resources.",exact,100.0,3,4.0,50.25,3.79,83.37,4.A.4.c.1.I01.D10,Perform administrative or clerical tasks.,4.A.4.c.1.I01,0.49693251533742333,0.6880131362889984,0.21409921671018278,0.4811977715877437
help children with homework and school work.,41.0,39-9011.00,2347.0,Help children with homework and school work.,Supplemental,Childcare Workers,"Attend to children at schools, businesses, private households, and childcare institutions. Perform a variety of tasks, such as dressing, feeding, bathing, and overseeing play.",exact,100.0,2,2.0,38.54,4.17,55.26,4.A.4.b.3.I01.D03,Teach daily living skills or behaviors.,4.A.4.b.3.I01,0.4447852760736197,0.43678160919540227,0.19321148825065274,0.33983286908078003
"draw charts and graphs, using computer spreadsheets, to illustrate technical reports.",41.0,13-2051.00,21589.0,"Draw charts and graphs, using computer spreadsheets, to illustrate technical reports.",,Financial and Investment Analysts,"Conduct quantitative analyses of information involving investment programs or financial data of public or private institutions, including valuation of businesses.",exact,100.0,4,,,,,4.A.2.b.2.I18.D04,"Create images of data, locations, or products.",4.A.2.b.2.I18,,,,
"perform computer programming, data analysis, or software development for geographic information systems (gis) applications, including the maintenance of existing systems or research and development for future enhancements.",41.0,15-1299.02,21719.0,"Perform computer programming, data analysis, or software development for Geographic Information Systems (GIS) applications, including the maintenance of existing systems or research and development for future enhancements.",Core,Geographic Information Systems Technologists and Technicians,"Assist scientists or related professionals in building, maintaining, modifying, or using geographic information systems (GIS) databases. May also perform some custom application development or provide user support.",exact,100.0,3,,,4.24,91.3,4.A.2.b.2.I02.D10; 4.A.3.b.1.I01.D03,Design software applications.; Write computer programming code.,4.A.2.b.2.I02; 4.A.3.b.1.I01,0.825153374233129,0.4614121510673235,0.24281984334203655,0.5494428969359334
"maintain current knowledge of organizational policies and procedures, federal and state policies and directives, and current accounting standards.",41.0,11-3031.01,8859.0,"Maintain current knowledge of organizational policies and procedures, federal and state policies and directives, and current accounting standards.",Core,Treasurers and Controllers,"Direct financial activities, such as planning, procurement, and investments for all or part of an organization.",exact,100.0,4,6.0,56.0,4.0,100.0,4.A.2.b.3.I01.D08,Maintain knowledge of current developments in area of expertise.,4.A.2.b.3.I01,0.776073619631902,0.7733990147783253,0.08355091383812012,0.5745125348189415
prepare summary statistics of information regarding human genomes.,41.0,19-1029.01,16782.0,Prepare summary statistics of information regarding human genomes.,Supplemental,Bioinformatics Scientists,"Conduct research using bioinformatics theory and methods in areas such as pharmaceuticals, medical technology, biotechnology, computational biology, proteomics, computer information science, biology and medical informatics. May design databases and develop algorithms for processing and analyzing genomic information, or other biological information.",exact,100.0,5,6.0,33.61,2.71,40.81,4.A.1.a.1.I16.D01,Research genetic characteristics or expression.,4.A.1.a.1.I16,0.9647239263803681,0.6272577996715928,0.21148825065274152,0.6664345403899722
"install, service, and repair electronic equipment or instruments such as televisions, radios, and videocassette recorders.",41.0,49-2097.00,13738.0,"Install, service, and repair electronic equipment or instruments such as televisions, radios, and videocassette recorders.",Core,Audiovisual Equipment Installers and Repairers,"Install, repair, or adjust audio or television receivers, stereo systems, camcorders, video systems, or other electronic entertainment equipment in homes or other venues. May perform routine maintenance.",exact,100.0,3,2.0,38.35,4.39,93.25,4.A.3.a.2.I20.D03; 4.A.3.b.4.I03.D03,Install audio or communications equipment.; Repair electronic equipment.,4.A.3.a.2.I20; 4.A.3.b.4.I03,0.6058282208588959,0.5057471264367815,0.4934725848563969,0.6023676880222842
"study economic and statistical data in area of specialization, such as finance, labor, or agriculture.",41.0,19-3011.00,7536.0,"Study economic and statistical data in area of specialization, such as finance, labor, or agriculture.",Core,Economists,"Conduct research, prepare reports, or formulate plans to address economic problems related to the production and distribution of goods and services or monetary and fiscal policy. May collect and process economic and statistical data using sampling techniques and econometric methods.",exact,100.0,5,8.0,50.0,4.61,100.0,4.A.2.b.3.I01.D01,Review professional literature to maintain professional knowledge.,4.A.2.b.3.I01,0.8987730061349692,0.4958949096880133,0.020887728459530044,0.4791086350974932
create data management or error-checking procedures and user manuals.,41.0,15-2099.01,17711.0,Create data management or error-checking procedures and user manuals.,Core,Bioinformatics Technicians,"Apply principles and methods of bioinformatics to assist scientists in areas such as pharmaceuticals, medical technology, biotechnology, computational biology, proteomics, computer information science, biology and medical informatics. Apply bioinformatics tools to visualize, analyze, manipulate or interpret molecular data. May build and maintain databases for processing and analyzing genomic or other biological information.",exact,100.0,4,6.0,50.89,3.43,86.16,4.A.2.b.4.I03.D10,Develop data analysis or data management procedures.,4.A.2.b.4.I03,0.8757668711656443,0.3054187192118228,0.1514360313315927,0.4575208913649027
"study celestial phenomena, using a variety of ground-based and space-borne telescopes and scientific instruments.",41.0,19-2011.00,7524.0,"Study celestial phenomena, using a variety of ground-based and space-borne telescopes and scientific instruments.",Core,Astronomers,"Observe, research, and interpret astronomical phenomena to increase basic knowledge or apply such information to practical problems.",exact,100.0,5,11.0,65.22,4.52,100.0,4.A.4.b.4.I06.D05,Direct scientific activities.,4.A.4.b.4.I06,0.8987730061349692,0.497536945812808,0.2741514360313315,0.6149025069637885
"select and purchase technical web services, such as web hosting services, online merchant accounts, shopping cart software, payment gateway software, or spyware.",41.0,13-1199.06,15716.0,"Select and purchase technical web services, such as web hosting services, online merchant accounts, shopping cart software, payment gateway software, or spyware.",Supplemental,Online Merchants,"Conduct retail activities of businesses operating exclusively online. May perform duties such as preparing business strategies, buying merchandise, managing inventory, implementing marketing activities, fulfilling and shipping online orders, and balancing financial records.",exact,100.0,4,6.0,41.29,4.0,59.6,4.A.4.c.3.I05.D06,Purchase products or services.,4.A.4.c.3.I05,0.5460122699386504,0.46633825944170776,0.23498694516971277,0.4206128133704737
identify signs of emotional or developmental problems in children and bring them to parents' or guardians' attention.,41.0,39-9011.00,2335.0,Identify signs of emotional or developmental problems in children and bring them to parents' or guardians' attention.,Core,Childcare Workers,"Attend to children at schools, businesses, private households, and childcare institutions. Perform a variety of tasks, such as dressing, feeding, bathing, and overseeing play.",exact,100.0,2,2.0,38.54,4.23,91.13,4.A.1.a.2.I05.D05; 4.A.4.b.6.I07.D03,Discuss child development and behavior with parents or guardians.; Monitor health or behavior of people or animals.,4.A.1.a.2.I05; 4.A.4.b.6.I07,0.4447852760736197,0.43678160919540227,0.19321148825065274,0.33983286908078003
"confer with establishment personnel, vendors, or customers to coordinate production or shipping activities and to resolve complaints or eliminate delays.",41.0,43-5061.00,11366.0,"Confer with establishment personnel, vendors, or customers to coordinate production or shipping activities and to resolve complaints or eliminate delays.",Core,"Production, Planning, and Expediting Clerks","Coordinate and expedite the flow of work and materials within or between departments of an establishment according to production schedule. Duties include reviewing and distributing production, work, and shipment schedules; conferring with department supervisors to determine progress of work and completion dates; and compiling reports on progress of work, inventory levels, costs, and production problems.",exact,100.0,2,2.0,36.75,3.98,68.1,4.A.4.a.2.I03.D15; 4.A.4.b.4.I12.D16,Confer with coworkers to coordinate work activities.; Coordinate shipping activities with external parties.,4.A.4.a.2.I03; 4.A.4.b.4.I12,0.5260736196319018,0.32840722495894903,0.27937336814621405,0.3767409470752089
